Race,Target,Feature,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Other/Multi-racial,Has_Diabetes,Protein,11.1,5.6471231613982,3,21,0.1
Other/Multi-racial,Has_Diabetes,Smoke_Freq,11.8,3.1559467676119,6,16,0.0
Other/Multi-racial,Has_Diabetes,Sys_BP,11.9,4.548626166217664,4,19,0.0
Other/Multi-racial,Has_Diabetes,Carbs,12.0,6.308724118235001,4,22,0.0
Other/Multi-racial,Has_Diabetes,Calories,12.4,6.019966777316965,4,22,0.0
Other/Multi-racial,Has_Diabetes,Alc_Freq,13.7,3.689173349139344,10,20,0.0
Other/Multi-racial,Has_Diabetes,Fiber,14.1,3.645545226711637,9,19,0.0
Other/Multi-racial,Has_Diabetes,Sugar,15.8,4.621688003316537,6,22,0.0
Other/Multi-racial,Has_Diabetes,Sedentary_Behavior,16.2,7.19444229944198,2,22,0.2
Other/Multi-racial,Has_Diabetes,Dia_BP,16.3,3.8483762809787714,10,21,0.0
Other/Multi-racial,Has_Diabetes,Alc_Amt,17.3,3.287856444554719,12,22,0.0
Other/Multi-racial,Has_Diabetes,Income_Ratio,18.4,2.154065922853801,14,22,0.0
Other/Multi-racial,Has_Diabetes,BMI,18.6,3.32264954516723,13,22,0.0
Other/Multi-racial,Has_Diabetes,Race,23.0,0.0,23,23,0.0
Other/Multi-racial,Has_Hypertension,Sys_BP,1.4,0.66332495807108,1,3,1.0
Other/Multi-racial,Has_Hypertension,BMI,2.2,0.6,1,3,1.0
Other/Multi-racial,Has_Hypertension,HbA1c,4.1,1.445683229480096,2,6,0.4
Other/Multi-racial,Has_Hypertension,Carbs,4.8,1.7776388834631178,1,7,0.2
Other/Multi-racial,Has_Hypertension,Fat,5.1,2.022374841615669,1,9,0.2
Other/Multi-racial,Has_Hypertension,Calories,6.2,2.712931993250108,3,12,0.2
Other/Multi-racial,Has_Hypertension,Ever_Smoked,6.6,2.374868417407584,4,11,0.0
Other/Multi-racial,Has_Hypertension,Fiber,9.8,2.6,7,15,0.0
Other/Multi-racial,Has_Hypertension,Alc_Freq,10.0,2.32379000772445,7,15,0.0
Other/Multi-racial,Has_Hypertension,Sat_Fat,10.1,3.858756276314947,5,19,0.0
Other/Multi-racial,Has_Hypertension,Protein,10.8,1.5362291495737217,9,13,0.0
Other/Multi-racial,Has_Hypertension,Alc_Amt,11.0,2.6457513110645907,7,15,0.0
Other/Multi-racial,Has_Hypertension,Sodium,14.2,4.6,4,20,0.0
Other/Multi-racial,Has_Hypertension,Smoke_Freq,14.9,4.346262762420146,11,22,0.0
Other/Multi-racial,Has_Hypertension,Sedentary_Behavior,15.1,2.3430749027719964,11,19,0.0
Other/Multi-racial,Has_Hypertension,Gender,15.4,2.4166091947189146,11,19,0.0
Other/Multi-racial,Has_Hypertension,Cholesterol,16.6,2.5377155080899043,13,22,0.0
Other/Multi-racial,Has_Hypertension,Income_Ratio,18.1,2.7730849247724096,13,22,0.0
Other/Multi-racial,Has_Hypertension,Sugar,18.3,2.8301943396169813,14,22,0.0
Other/Multi-racial,Has_Hypertension,HDL,18.5,2.0615528128088303,16,22,0.0
Other/Multi-racial,Has_Hypertension,Sedentary_Behavior,19.2,1.7776388834631176,16,21,0.0
Other/Multi-racial,Has_Hypertension,Dia_BP,20.6,1.42828568570857,18,22,0.0
Other/Multi-racial,Has_Hypertension,Race,23.0,0.0,23,23,0.0
